,1,2
11,Addison's disease,"fatigue (lack of energy or motivation),lethargy (abnormal drowsiness or tiredness),muscle weakness,loss of appetite and unintentional weight loss,the need to urinate frequently,increased thirst,craving for salty foods,feeling sick (nausea),vomiting,diarrhoea,abdominal, joint or back pain,muscle cramps ,chronic exhaustion, which may cause depression,brownish discolouration of the skin, lips and gums (hyperpigmentation), particularly in the creases on your palms, on scars or on pressure points, such as your knuckles or knees,pale, cold, clammy skin,sweating,rapid, shallow breathing,dizziness,severe muscle weakness,headache,severe drowsiness or loss of consciousness"
12,Alcohol misuse,"breathing,heart rate,gag reflex, which prevents you choking,accidents and injury – more than 1 in 10 visits to accident and emergency (A&E) departments are because of alcohol-related illnesses,loss of personal possessions – many people lose personal possessions, such as their wallet or mobile phone, when they're drunk,unplanned time off work or college – this could put your job or education at risk,high blood pressure,stroke,pancreatitis,mouth cancer,head and neck cancer,breast cancer,depression,infertility ,family break-up and divorce,domestic abuse,unemployment,homelessness,financial problems,confusion,vomiting,seizures (fits),slow breathing,pale or bluish skin,cold and clammy skin,unconsciousness"
13,Alcohol poisoning,"confusion,severely slurred speech,loss of co-ordination,vomiting,irregular or slow breathing,hypothermia (pale or blue-tinged skin caused by low body temperature),stupor (being conscious but unresponsive),passing out and being unconscious,try to keep them sitting up and awake,give them water if they can drink it,keep them warm,stay with them and monitor their symptoms,inserting a tube into their mouth and windpipe (intubation) – to open the airway, remove any blockages and help with breathing,fitting an intravenous drip, which goes directly into a vein – to top up their water, blood sugar and vitamin levels,fitting a catheter (thin tube) to their bladder – to drain urine straight into a bag so they don't wet themselves,choke on their vomit,stop breathing,inhale vomit, leading to fatal lung damage,develop more severe hypothermia,have seizures (fits) as a result of lowered blood sugar levels,have an accident or get injured,become involved in violent or antisocial behaviour,lose personal possessions,your heart rate will speed up and your blood vessels will expand,you get the warm, sociable feeling associated with moderate drinking,your decision making and judgement will start to be affected, making you lose your inhibitions and become more reckless,the cells in your nervous system will start to be affected, making you feel lightheaded,your co-ordination will be affected and your reaction time may be slower,your reaction times will be much slower,your speech will be slurred,your vision will begin to lose focus,your liver won't be able to remove all of the alcohol overnight, so it's likely you'll wake up with a hangover,your co-ordination will be seriously impaired, placing you at high risk of having an accident,you may stagger around or feel unstable on your feet,you'll feel drowsy or dizzy,the amount of alcohol in your body will begin to reach toxic (poisonous) levels,you may need to go to the toilet more often as your body attempts to quickly pass the alcohol out of your body in your urine,you're at high risk of developing alcohol poisoning, particularly if you're drinking lots of units in a short space of time,the alcohol can begin to interfere with the automatic functions of your body, such as your breathing, heart rate and gag reflex,you're at risk of losing consciousness,men and women are advised not to regularly drink more than 14 units a week,spread your drinking over three days or more if you drink as much as 14 units a week,half a pint of lower-strength lager, beer or cider (ABV 3.6%),a single small shot of spirits (25ml, ABV 40%)"
14,Alcohol-related liver disease,"abdominal (tummy) pain,loss of appetite,fatigue,feeling sick,diarrhoea,feeling generally unwell,yellowing of the skin and whites of the eyes (jaundice),swelling in the legs, ankles and feet, due to a build-up of fluid (oedema),swelling in your abdomen, due to a build-up of fluid known as ascites,a high temperature (fever) and shivering attacks,very itchy skin,hair loss,unusually curved fingertips and nails (clubbed fingers),blotchy red palms,significant weight loss,weakness and muscle wasting,vomiting blood and black, tarry stools due to internal bleeding,increased sensitivity to alcohol and drugs (because the liver can't process them),Have you ever thought you should cut down on your drinking?,Have people annoyed you by criticising your drinking?,Have you ever felt guilty about your drinking?,Have you ever drunk an ""eye-opener"", which means: have you ever drunk alcohol first thing in the morning to get over a hangover and steady your nerves?"
15,Allergies,"swollen lips, tongue, eyes or face,dry, red and cracked skin,swelling of the throat and mouth,difficulty breathing,lightheadedness,confusion,blue skin or lips,collapsing and losing consciousness"
16,Alzheimer's disease,"forget about recent conversations or events, or misplace items,forget the names of places and objects, or have trouble thinking of the right word,repeat themselves regularly, such as asking the same question several times,show poor judgement or find it harder to make decisions,become less flexible and more hesitant to try new things,increasing confusion and disorientation – for example, getting lost, or wandering and not knowing what time of day it is,obsessive, repetitive or impulsive behaviour,delusions (believing things that are untrue) or feeling paranoid and suspicious about carers or family members,problems with speech or language (aphasia),disturbed sleep,difficulty performing spatial tasks, such as judging distances,hallucinations,difficulty eating and swallowing (dysphagia),difficulty changing position or moving around without assistance,considerable weight loss – although some people eat too much and put on weight,gradual loss of speech,significant problems with short- and long-term memory"
17,Anal cancer,"bleeding from the bottom (rectal bleeding),itching and pain around the anus,small lumps around the anus,a discharge of mucus from the anus,sigmoidoscopy – where a thin, flexible tube with a small camera and light is inserted into your bottom to check for any abnormalities,proctoscopy – where the inside of your rectum is examined using a hollow tube-like instrument (proctoscope) with a light on the end,surgery – to remove a tumour or a larger section of bowel,tiredness,sore skin around the anus,sore skin around the penis and scrotum in men or vulva in women,feeling sick,diarrhoea,bowel control problems,long-term (chronic) diarrhoea,erectile dysfunction,vaginal pain when having sex,dry and itchy skin around the groin and anus,bleeding from the anus, rectum, vagina or bladder,having anal sex or lots of sexual partners – possibly because this increases your risk of developing HPV,smoking"
18,Anaphylaxis,"nuts – such as walnuts, cashew nuts, almonds, brazil nuts and hazelnuts,milk,fish and shellfish,eggs,some types of fruit – such as bananas, kiwi fruit, grapes and strawberries,1 in 1,480 after taking a NSAID-type painkiller ,1 in 5,000 after taking penicillin,1 in 10,000 after being given a general anaesthetic"
19,Angioedema,"a hot or painful sensation in the swollen areas,swelling of the inside of the throat, the windpipe and the tongue, making breathing difficult,swelling of the conjunctiva (the transparent layer of cells that cover the white part of the eye), which affects vision,abdominal (stomach) pain caused by swelling in the stomach and bowel, which can cause nausea, vomiting and diarrhoea,swelling of the bladder or urethra (the tube that connects the bladder to the genitals), which can cause bladder problems and difficulty passing urine,a feeling of tightness in the chest that leads to breathing problems ,swelling of the tongue and throat"
20,Ankylosing spondylitis,"the pain gets better with exercise but doesn't improve, or gets worse, with rest,the pain and stiffness is worse in the morning and at night – you may wake up regularly during the night because of the pain,you have pain in the area around your buttocks,pain on moving the affected joint,tenderness when the affected joint is examined,swelling and warmth in the affected area  ,at the top of the shin bone,behind the heel (Achilles tendon),under the heel,where the ribs join to the breast bone"
21,Anorexia nervosa,"eating as little as possible,making yourself vomit,doing too much exercise,leaving the table immediately after meals,hard skin on their knuckles, caused by putting their fingers down their throat,laxatives (medication that helps to empty the bowel),diuretics (medication that helps remove fluid from the body),tell lies about eating or what they have eaten,give excuses about why they are not eating,pretend they have eaten earlier,tell lies about how much weight they have lost,find it difficult to think about anything other than food,spend lots of time reading cookery books and recipes,strict dieting,counting the calories in food excessively,avoiding food they think is fattening,eating only low-calorie food,missing meals (fasting),avoiding eating with other people,hiding food,cutting food into tiny pieces – to make it less obvious that they have eaten very little, and to make the food easier to swallow,taking appetite suppressants, such as slimming pills or diet pills,weighing themselves,measuring themselves, such as their waist size,checking their body in the mirror,fine downy hair (lanugo) growing on their body,more hair on their face,their pubic hair becoming sparse and thin,have pain in their abdomen (tummy),have swelling in their feet, hands or face (known as oedema),feel very tired (fatigue), as their sleep patterns may have changed,have low blood pressure (hypotension),feel cold or have a low body temperature (hypothermia),feel light-headed or dizzy"
22,Anxiety,"restlessness,a sense of dread,feeling constantly ""on edge"",difficulty concentrating,irritability,dizziness,tiredness,muscle aches and tension,trembling or shaking,dry mouth,excessive sweating,shortness of breath,stomach ache,feeling sick,headache,pins and needles"
23,Anxiety disorders in children,"finding it hard to concentrate,not sleeping, or waking in the night with bad dreams,not eating properly,quickly getting angry or irritable, and being out of control during outbursts,constantly worrying or having negative thoughts,feeling tense and fidgety, or using the toilet often,always crying,being clingy all the time (when other children are ok),complaining of tummy aches and feeling unwell,you feel it is not getting better or is getting worse, and efforts to tackle it yourself have not worked,you think it's slowing down their development or having a significant effect on their schooling or relationships ,it happens very frequently,Frequently moving house and school – it can be hard to settle when you're always expecting change,Divorce or separation of parents, especially when there are new step parents and siblings (although many children will adapt to this and settle in time),Parents fighting or arguing,Death of a close relative or friend,Becoming seriously illor injured in an accident,Having someone in the family who is ill or disabled,School-related issues such as homework or exams, or bullying or friendship problems,Becoming involved in crime,Being abused or neglected"
24,Appendicitis,"feeling sick (nausea),being sick,loss of appetite,diarrhoea,a high temperature (fever) and a flushed face,gastroenteritis,constipation,Crohn's disease,pelvic infection"
25,Arthritis,"fruit and vegetables,meat, fish, eggs and beans,milk and dairy foods,improve your range of movement and joint mobility,increase muscle strength,reduce stiffness,boost your energy,use larger, stronger joints as levers – for example, take the pressure of opening a heavy door on your shoulder rather than on your hand,use several joints to spread the weight of an object – for example, use both hands to carry your shopping or distribute the weight evenly in a shoulder bag or rucksack,don't grip too tightly – grip as loosely as possible or use a padded handle to widen your grip,keeping things in easy reach,using a hand rail to help you get up and down the stairs,using long-handled tools to pick things up or to clean,fitting levers to taps to make them easier to turn,using electric kitchen equipment, such as tin openers, when preparing food"
26,Asbestosis,"crocidolite (""blue asbestos""),amosite (""brown asbestos""),chrysotile (""white asbestos""),insulation workers,boilermakers,plumbers, pipefitters and steamfitters,shipyard workers,sheet metal workers,plasterers,chemical technicians ,heating, air-conditioning and refrigeration mechanics"
27,Asthma,"wheezing (a whistling sound when you breathe),shortness of breath,a tight chest – which may feel like a band is tightening around it ,coughing,your reliever inhaler (which is usually blue) is not helping symptoms as much as usual, or at all,wheezing, coughing and chest tightness becoming severe and constant,being too breathless to eat, speak or sleep,breathing faster,a rapid heartbeat,feeling drowsy, exhausted or dizzy,your lips or fingers turning blue (cyanosis)"
28,Atopic eczema,"your eczema getting a lot worse,fluid oozing from the skin,a yellow crust on the skin surface or small yellowish-white spots appearing in the eczema,the skin becoming swollen and sore,a high temperature (fever) and generally feeling unwell"
29,Attention deficit hyperactivity disorder (ADHD),"inattentiveness,hyperactivity and impulsiveness,having a short attention span and being easily distracted,making careless mistakes – for example, in schoolwork,appearing forgetful or losing things,being unable to stick at tasks that are tedious or time-consuming,appearing to be unable to listen to or carry out instructions,constantly changing activity or task,having difficulty organising tasks,being unable to sit still, especially in calm or quiet surroundings,constantly fidgeting,being unable to concentrate on tasks,excessive physical movement,excessive talking,being unable to wait their turn,acting without thinking,interrupting conversations,little or no sense of danger,oppositional defiant disorder (ODD) – this is defined by negative and disruptive behaviour, particularly towards authority figures, such as parents and teachers,conduct disorder – this often involves a tendency towards highly antisocial behaviour, such as stealing, fighting, vandalism and harming people or animals,depression,sleep problems – finding it difficult to get to sleep at night, and having irregular sleeping patterns,Tourette’s syndrome – a condition of the nervous system, characterised by a combination of involuntary noises and movements called tics,learning difficulties – such as dyslexia,carelessness and lack of attention to detail,continually starting new tasks before finishing old ones,poor organisational skills,inability to focus or prioritise,continually losing or misplacing things,forgetfulness,restlessness and edginess,difficulty keeping quiet and speaking out of turn,blurting out responses and often interrupting others,mood swings, irritability and a quick temper,inability to deal with stress,extreme impatience,taking risks in activities, often with little or no regard for personal safety or the safety of others – for example, driving dangerously"
30,Autistic spectrum disorder (ASD),"social interaction,social communication,social imagination,seem distant or detached,have little or no interest in other people,find it difficult to make friends,not seek affection in the usual way, or resist physical contact such as kissing and cuddling,find it difficult to make eye contact with other people,want to have social contact, but have difficulty knowing how to initiate it,not understand other people's emotions and have difficulty managing their own emotions,prefer to spend time alone,expressing themselves well,understanding gestures, facial expressions or tones of voice,using gestures to communicate,understanding instructions,have limited imaginative play,play the same games over and over, or play with games designed for children younger than themselves,get upset if their daily routines are interrupted in any way,show repetitive behaviours, such as hand flapping or spinning"
31,Bacterial vaginosis,"are sexually active, particularly if you have a new sexual partner or multiple sexual partners,smoke,rates of BV are higher in women who have multiple sexual partners,rates of BV are lower in women who use a condom during sex,there's no equivalent of BV in men,rates of BV can vary significantly in different ethnic groups, which can't be explained by sexual activity alone,BV can sometimes occur in women who aren't sexually active"
32,Benign prostate enlargement,"make it difficult for you to start urinating,weaken the flow of urine or cause ""stopping and starting"",cause you to strain to pass urine,cause you to need to urinate frequently,cause you to wake up frequently during the night to urinate,cause you to not be able to empty your bladder fully,cause blood in the urine (haematuria)"
33,Bile duct cancer (cholangiocarcinoma),"jaundice – yellowing of the skin and whites of the eyes, itchy skin, pale stools and dark-coloured urine,unintentional weight loss ,abdominal pain – most people feel a dull ache in the upper right-hand side of their abdomen (stomach),high temperature (fever) of 38C (100.4F) or above and shivering,loss of appetite"
34,Binge eating,"cognitive behavioural therapy (CBT) for binge eating disorder (CBT-BED) – a specially adapted type of CBT that involves talking to a therapist and working out new ways of thinking about situations, feelings and food,an adapted form of dialectical behaviour therapy (DBT) – therapy that mainly focuses on improving your ability to control and regulate your emotions,interpersonal therapy (IPT) – therapy that focuses on relationship-based issues and how they may be influencing your eating habits,feeling agitated, shaky or anxious,feeling or being sick,indigestion,loss of appetite and weight loss,dizziness,blurred vision,low sex drive,keeping a food diary to see if there is any pattern to when you binge and to highlight the types of food you binge on,having regular, planned meals and not skipping meals,eating healthy snacks between meals to stop you getting hungry,not depriving yourself of specific foods – you may be encouraged to include some unhealthy foods in your eating plan to reduce your urge to binge on them,having a balanced, calorie-controlled diet as recommended by your GP or other healthcare professional"
35,Bipolar disorder,"feeling sad, hopeless or irritable most of the time,lacking energy,difficulty concentrating and remembering things,loss of interest in everyday activities,feelings of emptiness or worthlessness,feelings of guilt and despair,feeling pessimistic about everything,self-doubt,being delusional, having hallucinations and disturbed or illogical thinking,lack of appetite,difficulty sleeping,waking up early,suicidal thoughts,feeling very happy, elated or overjoyed,talking very quickly,feeling full of energy,feeling self-important,feeling full of great new ideas and having important plans,being easily distracted,being easily irritated or agitated,being delusional, having hallucinations and disturbed or illogical thinking,not feeling like sleeping,not eating,doing things that often have disastrous consequences – such as spending large sums of money on expensive and sometimes unaffordable items,making decisions or saying things that are out of character and that others see as being risky or harmful,rapid cycling – where a person with bipolar disorder repeatedly swings from a high to low phase quickly without having a ""normal"" period in between,mixed state – where a person with bipolar disorder experiences symptoms of depression and mania together; for example, overactivity with a depressed mood"
36,Bladder cancer,"a need to urinate on a more frequent basis,sudden urges to urinate,a burning sensation when passing urine,pelvic pain ,bone pain,unintentional weight loss ,swelling of the legs,kidney stones,urethritis"
37,Blood poisoning (sepsis),"you've recently had surgery,you have to stay in hospital for a long time,appendicitis,an infection of the thin layer of tissue that lines the inside of the abdomen (peritonitis),an infection of the gallbladder (cholecystitis) or bile ducts (cholangitis),infections after surgery,bone infection (osteomyelitis),are very young or very old,are pregnant,have just had surgery, or have wounds or injuries as a result of an accident,are on mechanical ventilation – where a machine is used to help you breathe,have drips or catheters attached to their skin,are genetically prone to infections"
38,Bone cancer,"a high temperature (fever) of 38C (100.4F) or above,unexplained weight loss,sweating, particularly at night"
39,Bone cancer: Teenagers and young adults,"they work together with our joints and connective tissue so that we can move around. ,they protect parts of our bodies from injury - for example, the ribs protect the heart and lungs. ,they store calcium. ,some bones contain bone marrow, which makes our blood cells.,ligaments are tough cords of tissue that attach bones to each other. ,cartilage is a slippery material that covers the ends of bones to stop them rubbing together. ,muscles are made of tough, stretchy tissue. Muscles give us our strength. ,tendons are strong cords of tissue that attach muscles to bones."
40,Bowel cancer,"a persistent change in bowel habit, causing them to go to the toilet more often and pass looser stools, usually together with blood on or in their stools,a persistent change in bowel habit without blood in their stools, but with abdominal pain,blood in the stools without other haemorrhoid symptoms, such as soreness, discomfort, pain, itching, or a lump hanging down outside the back passage,abdominal pain, discomfort or bloating always provoked by eating, sometimes resulting in a reduction in the amount of food eaten and weight loss,severe abdominal pain, which may initially come and go,not being able to pass stools when you go to the toilet,noticeable swelling or bloating of the tummy,vomiting"
41,Bowel incontinence,"problems with the rectum – the rectum is unable to retain poo properly until it's time to go to the toilet,problems with the sphincter muscles – the muscles at the bottom of the rectum don't work properly,nerve damage – the nerve signals sent from the rectum don't reach the brain,stroke,spina bifida (birth defects that affect the development of the spine and nervous system)"
42,Bowel polyps,"some are a tiny raised area or bulge, known as a sessile polyp,some look like a grape on a stalk, known as a pedunculated polyp,some take the form of many tiny bumps clustered together,a small amount of rectal bleeding (blood in your stool),mucus to be produced when you open your bowels,abdominal pain,the polyp has been completely removed,there is any risk of it regrowing,there is any cancerous change in the polyp"
43,Brain stem death,"a person must be unconscious and fail to respond to outside stimulation,a person's heartbeat and breathing can only be maintained using a ventilator,there must be clear evidence that serious brain damage has occurred and it can't be cured,an overdose of illegal drugs, tranquillisers, poisons or other chemical agents,an abnormally low body temperature (hypothermia),severe under-activity of the thyroid gland,A torch is shone into both eyes to see if they react to the light.,The cornea (transparent outer layer of the eye), which is usually very sensitive, is stroked with a tissue or piece of cotton wool to see if the eye reacts.,Pressure is applied to the forehead and the nose is pinched to see if there's any movement in response.,Ice-cold water is inserted into each ear, which would usually cause the eyes to move.,A thin, plastic tube is placed down the trachea (windpipe) to see if it provokes gagging or coughing.,The person is disconnected from the ventilator for a short period of time to see if they make any attempt to breathe on their own."
44,Brain tumours,"seizures (fits),persistent nausea, vomiting and drowsiness,mental or behavioural changes, such as memory problems or changes in personality,progressive weakness or paralysis on one side of the body, vision problems, or speech problems,The Brain Tumour Charity,Brain Tumour Research,Macmillan: brain tumours"
45,Brain tumours: Children,"vomiting (usually in the morning) or feeling sick,fits (seizures),feeling very irritated or losing interest in day-to-day things,eye problems, such as abnormal eye movements, blurring or double vision feeling very tired much more quickly than usual,feeling extremely sleepy (drowsy) for no reason,the cerebrum - this is at the top of the head and is the largest part of the brain. It is made up of two halves or hemispheres. It controls thinking, learning, memory, problem-solving, emotions and touch. It also helps us be aware of our body position,the cerebellum - this is the back part of the brain, and it controls movement, balance and coordination,the brain stem - this connects the brain to the spinal cord and is in the lower part of the brain just above the back of the neck. It controls breathing, body temperature, heart rate and blood pressure, eye movements and swallowing"
46,Brain tumours: Teeangers and young adults,"it can cause fits,it can affect the messages sent by that part of the brain to other parts of the body,it can also cause ‘raised intracranial pressure’. There’s only a certain amount of space in the skull for the brain. As a tumour grows, there can be a rise in pressure in or around the brain,headaches, which are often worse in the morning,vomiting (usually in the morning) or feeling sick,fits (seizures),feeling very irritated or losing interest in day-to-day stuff like friends, school or going out,problems with your eyes, such as blurring or seeing double,feeling more sleepy or drowsy than usual,changes in your balance and walking, or weakness down one side of the body,problems with speech,personality changes,having tests for brain tumours,treatment for brain tumours"
47,Breast cancer (female),"a lump or area of thickened tissue in either breast,a change in the size or shape of one or both breasts,discharge from either of your nipples (which may be streaked with blood),a lump or swelling in either of your armpits,dimpling on the skin of your breasts,a rash on or around your nipple,a change in the appearance of your nipple, such as becoming sunken into your breast"
48,Breast cancer (male),"the nipple beginning to turn in on itself (nipple retraction),the nipple becoming hard and inflamed, and looking sore (nipple ulceration),fluid leaking from the nipple (nipple discharge),bone pain,swelling of the lymph nodes (glands), usually in or around the armpit,shortness of breath,feeling unusually tired all the time,feeling sick (nausea),itchy skin with yellowing of the skin and whites of the eyes (jaundice)"
49,Bronchiectasis,"shortness of breath,wheezing,coughing up blood or blood-stained phlegm,chest pain,joint pain,clubbing of the fingertips – the tissue beneath the nail thickens and the fingertips become rounded and bulbous,coughing up even more phlegm, which may be more green than usual or smell unpleasant,worsening shortness of breath,feel very tired,cough up blood, if you haven't already done so,feel generally unwell,a bluish tinge to the skin and lips (cyanosis),confusion,a high temperature of 38C (100.4F) or above,rapid breathing (more than 25 breaths a minute),severe chest pain that makes it too painful to cough and clear your lungs"
50,Bronchitis,"sore throat,headache,runny or blocked nose,aches and pains,tiredness,wheezing,increasing breathlessness when exercising or moving around,a persistent cough that brings up mucus (phlegm),your cough is very severe or lasts longer than three weeks,you cough up mucus streaked with blood,you develop rapid breathing (more than 30 breaths a minute) or chest pains,you become drowsy or confused,you have had repeated bouts of bronchitis,asthma,emphysema – damage to the small airways in your lungs"
51,Bulimia,"an obsessive attitude towards food and eating,unrealistic opinions about body weight and shape,isolation – losing interest in other people"
52,Bunion,"genetics (family history),arthritis ,other conditions and syndromes – such as cerebral palsy and Marfan syndrome,poorly fitting shoes  "
53,Bursitis,"a high temperature (fever) of 38C (100.4F) or above,feeling shivery,broken skin over the affected area  "
54,Carcinoid syndrome and carcinoid tumours,"A stomach carcinoid tumour may cause pain, weight loss, tiredness and weakness.,diarrhoea, tummy pain and loss of appetite,flushing of the skin, particularly the face,fast heart rate,breathlessness and wheezing,a rare family syndrome called multiple endocrine neoplasia type 1 (MEN1),parents or siblings with a carcinoid tumour,injections of medicines called somatostatin analogues, such as octreotide and lanreotide, which can slow down the growth of the tumour,alcohol,large meals,spicy foods,foods containing the substance tyramine, such as aged cheese and salted or pickled meats,stress"
55,Catarrh,"constant need to clear your throat,feeling that your throat is blocked,blocked or stuffy nose that you can't clear,runny nose,feeling of mucus running down the back of your throat,reduced sense of smell and taste,crackling sensation in your ear and some temporary hearing loss,avoiding things that trigger your symptoms, such as allergens or smoky places,taking sips of cold water when you feel the need to clear your throat – constantly clearing your throat may make things worse,using a saline nasal rinse several times a day – these can be bought from a pharmacy or made at home with half a teaspoon of salt in a pint of boiled water that's been left to cool,avoiding warm, dry atmospheres, such as places with air conditioning and car heating systems – placing plants or bowls of water in a room may help to keep the air humid,staying well hydrated,non-allergic rhinitis,nasal polyps"
56,Cellulitis,"red ,hot ,swollen ,painful ,tender ,feeling generally unwell ,feeling sick ,shivering ,chills ,a high temperature (fever) of 38C (100.4F) or above ,a fast heartbeat or fast breathing ,being sick ,cold, clammy, pale skin ,unresponsiveness or loss of consciousness "
57,Cervical cancer,"constipation ,blood in your urine (haematuria),bone pain,swelling of one of your legs,severe pain in your side or back caused by swelling in your kidneys, related to a condition called hydronephrosis,changes to your bladder and bowel habits,loss of appetite,weight loss,tiredness and a lack of energy,bleeding after sex (postcoital bleeding),bleeding outside of your normal periods,new bleeding after the menopause"
58,Chest infection,"coughing up yellow or green phlegm (thick mucus), or coughing up blood,wheezing,a high temperature (fever),a rapid heartbeat,chest pain or tightness,feeling confused and disorientated,babies and very young children,children with developmental problems,people who are very overweight,elderly people,pregnant women,people who smoke,getting plenty of rest,raising your head up with extra pillows while you're sleeping – to make breathing easier,stopping smoking,you feel very unwell or your symptoms are severe,your symptoms are not improving,you feel confused, disorientated or drowsy,you have chest pain or difficulty breathing,you cough up blood or blood-stained phlegm,your skin or lips develop a blue tinge (cyanosis),you're pregnant,you're 65 or over,you're very overweight and have difficulty breathing,you think a child under five has a chest infection,you have a weakened immune system,you have a long-term health condition,not regularly drinking more than 14 units of alcohol a week,if you drink as much as 14 units a week, it's best to spread this evenly over three or more days,if you're trying to reduce the amount of alcohol you drink, it's a good idea to have several alcohol-free days each week,babies and young children,pregnant women (flu jab only),people aged 65 and over,people with long-term health conditions or weakened immune systems"
59,Chest pain,"the pain feels heavy, pressing or tight,the pain lasts longer than 15 minutes,the pain spreads to other parts of your body, such as your arms, back or jaw,speak to your GP,call the 111 service,burning chest pain (heartburn),an unpleasant taste in the mouth caused by stomach acid coming back up into your mouth,mastitis – pain and swelling of the breast, which is usually caused by an infection, most commonly during breastfeeding,a pulmonary embolism – a blockage in the blood vessel that carries blood from the heart to the lungs, which can cause sharp, stabbing chest pain that may be worse when you breathe in, as well as breathlessness, a cough and dizziness,pericarditis – inflammation of the sac surrounding your heart, which can cause a sudden, sharp and stabbing pain in your chest, or more of a dull ache; the pain usually worsens when lying down"
60,Chickenpox,"behind the ears,on the face,over the scalp,on the chest and belly,on the arms and legs,feeling sick,a high temperature (fever) of 38C (100.4F) or over,aching, painful muscles,headache,generally feeling unwell,loss of appetite,the skin surrounding the blisters becoming red and painful ,pain in the chest or difficulty breathing"
